rank	repo	score	prCreated	prMerged	prOpen	closedUnmerged	defaultBranchCommits	sampledAuthors	releases	language	pushedAt
78	cartridge-gg/vrf	0.0107	8	8	0	0	8	1	0	Cairo	2026-05-12T18:48:48Z
79	starknet-io/starknet-devnet-js	0.0106	1	1	0	0	1	1	1	TypeScript	2026-04-23T20:54:52Z
80	foundry-rs/setup-snfoundry	0.0106	1	1	0	0	1	1	1	JavaScript	2026-04-07T16:25:44Z
81	argentlabs/x-sessions	0.0092	9	2	6	1	5	1	0	TypeScript	2026-04-15T14:48:54Z
82	starkware-libs/strkBTC	0.0075	2	2	0	0	8	1	0	Cairo	2026-05-17T07:29:58Z
83	NethermindEth/starknet-remix-plugin	0.0072	6	0	4	2	0	1	0	TypeScript	2026-04-22T00:50:10Z
84	EkuboProtocol/rust-sdk	0.0072	2	2	0	0	6	1	0	Rust	2026-04-11T12:59:01Z
85	NethermindEth/starkweb	0.0069	23	0	3	20	0	0	0	TypeScript	2026-05-13T04:16:01Z
86	keep-starknet-strange/alexandria	0.006	1	1	0	0	1	1	0	Cairo	2026-03-05T13:11:57Z
87	cartridge-gg/explorer	0.006	1	1	0	0	1	1	0	TypeScript	2026-04-22T18:59:09Z
88	AkatsukiLabs/DojoByExample	0.006	1	1	0	0	1	1	0	Cairo	2026-05-16T18:01:31Z
89	avnu-labs/avnu-contracts-v2	0.006	2	0	1	1	0	1	0	Cairo	2026-01-24T09:17:22Z
90	cartridge-gg/katana-tee	0.0059	1	1	0	0	0	1	0	Cairo	2026-04-29T01:46:38Z
91	Consensys/starknet-snap	0.0057	1	0	1	0	0	1	0	TypeScript	2026-05-12T13:55:22Z
92	kkrt-labs/keth	0.0057	1	0	1	0	0	1	0	Cairo	2026-03-30T00:30:34Z
93	HerodotusDev/hdp-cairo	0.0057	1	0	1	0	0	1	0	Cairo	2026-04-07T18:07:36Z
94	software-mansion/cairo-coverage	0.0053	9	7	0	2	7	0	0	Rust	2026-05-22T12:04:05Z
95	starknet-io/starkgate-contracts	0.005	0	0	0	0	3	0	1	Cairo	2026-03-23T09:25:57Z
96	cartridge-gg/katana-tee-vm	0.002	0	0	0	0	15	0	0	Shell	2026-05-14T16:08:50Z
97	circlefin/starknet-cctp	0.0015	5	0	4	1	0	0	0	Cairo	2026-03-26T11:03:18Z
98	equilibriumco/beerus	0.0012	4	0	4	0	0	0	0	Rust	2026-04-04T17:11:38Z
99	starknet-io/starknet-addresses	0.0003	0	0	0	0	2	0	0		2026-04-14T08:44:32Z
100	starknet-io/pm	0.0003	0	0	0	0	2	0	0		2026-03-12T11:57:30Z
101	keep-starknet-strange/loot-referral	0.0003	0	0	0	0	2	0	0	TypeScript	2026-02-25T14:20:26Z
102	keep-starknet-strange/death-mountain-mobile	0.0003	0	0	0	0	2	0	0	TypeScript	2026-02-24T09:36:01Z
103	NethermindEth/starknet-abi-form	0.0003	1	0	1	0	0	0	0	TypeScript	2026-03-27T21:08:00Z
104	starkware-libs/starknet-api	0	0	0	0	0	0	0	0	Rust	2026-05-18T19:22:26Z
105	keep-starknet-strange/art-peace	0	0	0	0	0	0	0	0	JavaScript	2025-09-02T05:41:42Z
106	keep-starknet-strange/frieda	0	0	0	0	0	0	0	0	Rust	2025-05-12T13:55:10Z
107	keep-starknet-strange/broly	0	0	0	0	0	0	0	0	TypeScript	2025-04-16T14:39:15Z
108	keep-starknet-strange/blobstream-starknet	0	0	0	0	0	0	0	0	Cairo	2024-05-22T19:46:50Z
109	madara-alliance/starknet-hive	0	0	0	0	0	0	0	0	Rust	2025-05-07T10:20:25Z
110	madara-alliance/madara-cli	0	0	0	0	0	0	0	0	Rust	2025-04-24T18:31:27Z
111	madara-alliance/madara-tester	0	0	0	0	0	0	0	0	TypeScript	2025-04-21T17:27:50Z
112	cartridge-gg/cainome	0	0	0	0	0	0	0	0	Rust	2026-02-17T16:32:58Z
113	argentlabs/argent-x	0	0	0	0	0	0	0	0	TypeScript	2025-03-14T13:34:50Z
114	starkware-bitcoin/shinigami	0	0	0	0	0	0	0	0	Cairo	2025-06-02T15:38:30Z
115	starkware-bitcoin/raito	0	0	0	0	0	0	0	0	Cairo	2025-12-01T10:27:21Z
116	HerodotusDev/integrity	0	0	0	0	0	0	0	0	Cairo	2026-01-27T13:48:37Z
117	underware-gg/pistols	0	0	0	0	0	0	0	0	TypeScript	2026-05-05T01:30:41Z
